fixture                                                                                   path                           chose         status
action_speed_stage_100_7_None                                                             strategy/action-speeds         (none)        OK
action_speed_stage_100_7_2                                                                strategy/action-speeds         (none)        OK
action_speed_stage_100_13_None                                                            strategy/action-speeds         (none)        OK
action_speed_stage_100_13_2                                                               strategy/action-speeds         (none)        OK
action_speed_transform_unknown_False                                                      strategy/action-speeds         (none)        OK
action_speed_transform_unknown_True                                                       strategy/action-speeds         (none)        OK
exchange_trade_damage                                                                     strategy/action-exchange       (none)        OK
exchange_cache_fire_crossing                                                              strategy/action-exchange       (none)        OK
exchange_cache_fire_same_band                                                             strategy/action-exchange       (none)        OK
exchange_cache_ice_crossing                                                               strategy/action-exchange       (none)        OK
exchange_cache_target_cap_growth                                                          strategy/action-exchange       (none)        OK
exchange_cache_false_swipe_excluded                                                       strategy/action-exchange       (none)        OK
exchange_cache_fang_excluded                                                              strategy/action-exchange       (none)        OK
exchange_cache_multihit_excluded                                                          strategy/action-exchange       (none)        OK
exchange_cache_pursuit_normalized                                                         strategy/action-exchange       (none)        OK
exchange_cache_unknown_speed                                                              strategy/action-exchange       (none)        OK
exchange_cache_own_vital_throw                                                            strategy/action-exchange       (none)        OK
exchange_cache_reply_vital_throw                                                          strategy/action-exchange       (none)        OK
exchange_cache_reply_miss                                                                 strategy/action-exchange       (none)        OK
exchange_cache_both_miss                                                                  strategy/action-exchange       (none)        OK
exchange_cache_reuse_all_events                                                           strategy/action-exchange       (none)        OK
exchange_fast_finish                                                                      strategy/action-exchange       (none)        OK
exchange_denied_by_finish                                                                 strategy/action-exchange       (none)        OK
exchange_fast_recover                                                                     strategy/action-exchange       (none)        OK
exchange_slow_recover                                                                     strategy/action-exchange       (none)        OK
exchange_switch_tempo                                                                     strategy/action-exchange       (none)        OK
exchange_replacement_no_extra_turn                                                        strategy/action-exchange       (none)        OK
exchange_entry_faint                                                                      strategy/action-exchange       (none)        OK
exchange_large_hp_fraction                                                                strategy/action-exchange       (none)        OK
exchange_wincon_fraction                                                                  strategy/action-exchange       (none)        OK
exchange_selfdestruct_guaranteed_miss                                                     strategy/action-exchange       (none)        OK
exchange_recoil_immunity                                                                  strategy/action-exchange       (none)        OK
exchange_drain_immunity                                                                   strategy/action-exchange       (none)        OK
exchange_sleep_denies_action                                                              strategy/action-exchange       (none)        OK
exchange_recharge_denies_action                                                           strategy/action-exchange       (none)        OK
exchange_frozen_denies_explosion                                                          strategy/action-exchange       (none)        OK
exchange_snore_wakes_and_fails                                                            strategy/action-exchange       (none)        OK
exchange_reply_sleep_denied                                                               strategy/action-exchange       (none)        OK
exchange_reply_recovers                                                                   strategy/action-exchange       (none)        OK
exchange_rest_full_fails                                                                  strategy/action-exchange       (none)        OK
exchange_fixed_own_miss_branch                                                            strategy/action-exchange       (none)        OK
exchange_fixed_own_hit_branch                                                             strategy/action-exchange       (none)        OK
exchange_ordinary_amount_range                                                            strategy/action-exchange       (none)        OK
exchange_overkill_raw_range                                                               strategy/action-exchange       (none)        OK
exchange_switch_pursuit_unresolved                                                        strategy/action-exchange       (none)        OK
exchange_quick_claw_order_uncertain                                                       strategy/action-exchange       (none)        OK
exchange_flinch_denies_action                                                             strategy/action-exchange       (none)        OK
exchange_attract_unresolved                                                               strategy/action-exchange       (none)        OK
exchange_life_orb_then_reply                                                              strategy/action-exchange       (none)        OK
exchange_life_orb_faint                                                                   strategy/action-exchange       (none)        OK
exchange_shell_bell_raw_overkill                                                          strategy/action-exchange       (none)        OK
exchange_shell_bell_cap                                                                   strategy/action-exchange       (none)        OK
exchange_shell_bell_cannot_revive_explosion                                               strategy/action-exchange       (none)        OK
exchange_helmet_contact                                                                   strategy/action-exchange       (none)        OK
exchange_helmet_noncontact                                                                strategy/action-exchange       (none)        OK
exchange_helmet_holder_faints                                                             strategy/action-exchange       (none)        OK
exchange_life_orb_zero_then_drain                                                         strategy/action-exchange       (none)        OK
exchange_helmet_zero_then_drain                                                           strategy/action-exchange       (none)        OK
exchange_shell_bell_then_recoil                                                           strategy/action-exchange       (none)        OK
exchange_own_maximum_amount                                                               strategy/action-exchange       (none)        OK
exchange_reply_minimum_amount                                                             strategy/action-exchange       (none)        OK
exchange_reply_maximum_amount                                                             strategy/action-exchange       (none)        OK
exchange_claw_own_first_branch                                                            strategy/action-exchange       (none)        OK
exchange_claw_reply_first_branch                                                          strategy/action-exchange       (none)        OK
exchange_priority_precedes_order_branch                                                   strategy/action-exchange       (none)        OK
defense_harden_own_0_0                                                                    strategy/defense-exchange      (none)        OK
defense_harden_own_0_1                                                                    strategy/defense-exchange      (none)        OK
defense_harden_own_1_0                                                                    strategy/defense-exchange      (none)        OK
defense_harden_own_1_1                                                                    strategy/defense-exchange      (none)        OK
defense_harden_player_0_0                                                                 strategy/defense-exchange      (none)        OK
defense_harden_player_0_1                                                                 strategy/defense-exchange      (none)        OK
defense_harden_player_1_0                                                                 strategy/defense-exchange      (none)        OK
defense_harden_player_1_1                                                                 strategy/defense-exchange      (none)        OK
defense_withdraw_own_0_0                                                                  strategy/defense-exchange      (none)        OK
defense_withdraw_own_0_1                                                                  strategy/defense-exchange      (none)        OK
defense_withdraw_own_1_0                                                                  strategy/defense-exchange      (none)        OK
defense_withdraw_own_1_1                                                                  strategy/defense-exchange      (none)        OK
defense_withdraw_player_0_0                                                               strategy/defense-exchange      (none)        OK
defense_withdraw_player_0_1                                                               strategy/defense-exchange      (none)        OK
defense_withdraw_player_1_0                                                               strategy/defense-exchange      (none)        OK
defense_withdraw_player_1_1                                                               strategy/defense-exchange      (none)        OK
defense_barrier_own_0_0                                                                   strategy/defense-exchange      (none)        OK
defense_barrier_own_0_1                                                                   strategy/defense-exchange      (none)        OK
defense_barrier_own_1_0                                                                   strategy/defense-exchange      (none)        OK
defense_barrier_own_1_1                                                                   strategy/defense-exchange      (none)        OK
defense_barrier_player_0_0                                                                strategy/defense-exchange      (none)        OK
defense_barrier_player_0_1                                                                strategy/defense-exchange      (none)        OK
defense_barrier_player_1_0                                                                strategy/defense-exchange      (none)        OK
defense_barrier_player_1_1                                                                strategy/defense-exchange      (none)        OK
defense_acid_armor_own_0_0                                                                strategy/defense-exchange      (none)        OK
defense_acid_armor_own_0_1                                                                strategy/defense-exchange      (none)        OK
defense_acid_armor_own_1_0                                                                strategy/defense-exchange      (none)        OK
defense_acid_armor_own_1_1                                                                strategy/defense-exchange      (none)        OK
defense_acid_armor_player_0_0                                                             strategy/defense-exchange      (none)        OK
defense_acid_armor_player_0_1                                                             strategy/defense-exchange      (none)        OK
defense_acid_armor_player_1_0                                                             strategy/defense-exchange      (none)        OK
defense_acid_armor_player_1_1                                                             strategy/defense-exchange      (none)        OK
defense_amnesia_own_0_0                                                                   strategy/defense-exchange      (none)        OK
defense_amnesia_own_0_1                                                                   strategy/defense-exchange      (none)        OK
defense_amnesia_own_1_0                                                                   strategy/defense-exchange      (none)        OK
defense_amnesia_own_1_1                                                                   strategy/defense-exchange      (none)        OK
defense_amnesia_player_0_0                                                                strategy/defense-exchange      (none)        OK
defense_amnesia_player_0_1                                                                strategy/defense-exchange      (none)        OK
defense_amnesia_player_1_0                                                                strategy/defense-exchange      (none)        OK
defense_amnesia_player_1_1                                                                strategy/defense-exchange      (none)        OK
defense_edge_reflect                                                                      strategy/defense-exchange      (none)        OK
defense_edge_light_screen                                                                 strategy/defense-exchange      (none)        OK
defense_edge_public_reflect                                                               strategy/defense-exchange      (none)        OK
defense_edge_public_light_screen                                                          strategy/defense-exchange      (none)        OK
defense_edge_plus_five                                                                    strategy/defense-exchange      (none)        OK
defense_edge_plus_six                                                                     strategy/defense-exchange      (none)        OK
defense_edge_already_999                                                                  strategy/defense-exchange      (none)        OK
defense_edge_eviolite_reflect                                                             strategy/defense-exchange      (none)        OK
defense_edge_eviolite_light_screen                                                        strategy/defense-exchange      (none)        OK
defense_edge_metal_powder_reflect                                                         strategy/defense-exchange      (none)        OK
defense_tie_own_12                                                                        strategy/defense-exchange      (none)        OK
defense_tie_own_4                                                                         strategy/defense-exchange      (none)        OK
defense_tie_player_12                                                                     strategy/defense-exchange      (none)        OK
defense_tie_player_4                                                                      strategy/defense-exchange      (none)        OK
candidates_all_legal_including_low_hp_bench                                               strategy/action-candidates     TACKLE        OK
candidates_exact_slot_pp_mask                                                             strategy/action-candidates     TACKLE        OK
candidates_disabled                                                                       strategy/action-candidates     TACKLE        OK
candidates_empty_pp_struggle                                                              strategy/action-candidates     TACKLE        OK
candidates_choice_lock                                                                    strategy/action-candidates     TACKLE        OK
candidates_choice_first_turn                                                              strategy/action-candidates     TACKLE        OK
candidates_stale_lock_ignored                                                             strategy/action-candidates     TACKLE        OK
candidates_choice_missing                                                                 strategy/action-candidates     TACKLE        OK
candidates_choice_disabled                                                                strategy/action-candidates     TACKLE        OK
candidates_choice_duplicate_first_exhausted                                               strategy/action-candidates     TACKLE        OK
candidates_choice_duplicate_first_usable                                                  strategy/action-candidates     TACKLE        OK
candidates_vest_fixed_and_counter                                                         strategy/action-candidates     RECOVER       OK
candidates_vest_no_usable_attack                                                          strategy/action-candidates     RECOVER       OK
candidates_encore                                                                         strategy/action-candidates     TACKLE        OK
candidates_encore_disabled_selection                                                      strategy/action-candidates     TACKLE        OK
candidates_encore_then_choice                                                             strategy/action-candidates     TACKLE        OK
candidates_encore_then_vest                                                               strategy/action-candidates     TACKLE        OK
candidates_encore_vest_scans_to_slot_one                                                  strategy/action-candidates     RECOVER       OK
candidates_encore_vest_no_attack                                                          strategy/action-candidates     RECOVER       OK
candidates_recharge_wait                                                                  strategy/action-candidates     TACKLE        OK
candidates_encore_before_recharge                                                         strategy/action-candidates     TACKLE        OK
candidates_charged_bypasses_choice                                                        strategy/action-candidates     FLY           OK
candidates_rampage                                                                        strategy/action-candidates     THRASH        OK
candidates_bide                                                                           strategy/action-candidates     BIDE          OK
candidates_rollout                                                                        strategy/action-candidates     ROLLOUT       OK
candidates_trapped                                                                        strategy/action-candidates     TACKLE        OK
candidates_wrapped                                                                        strategy/action-candidates     TACKLE        OK
candidates_wild_no_switch                                                                 strategy/action-candidates     TACKLE        OK
candidates_link_no_switch                                                                 strategy/action-candidates     TACKLE        OK
candidates_replacement_ignores_active_restrictions                                        strategy/action-candidates     TACKLE        OK
candidates_party_count_boundary                                                           strategy/action-candidates     TACKLE        OK
candidates_no_bench                                                                       strategy/action-candidates     TACKLE        OK
replies_inherited_above_hatch_level                                                       strategy/public-replies        (none)        OK
replies_inherited_through_evolution                                                       strategy/public-replies        (none)        OK
replies_baby                                                                              strategy/public-replies        (none)        OK
replies_pre_evolution                                                                     strategy/public-replies        (none)        OK
replies_two_ancestors_low_level                                                           strategy/public-replies        (none)        OK
replies_two_ancestors_high_level                                                          strategy/public-replies        (none)        OK
replies_stat_evolution                                                                    strategy/public-replies        (none)        OK
replies_branched_evolution                                                                strategy/public-replies        (none)        OK
replies_ordinary_boss_species                                                             strategy/public-replies        (none)        OK
replies_observed_beyond_learnability                                                      strategy/public-replies        (none)        OK
replies_four_observed                                                                     strategy/public-replies        (none)        OK
replies_temporary_observation_not_complete                                                strategy/public-replies        (none)        OK
replies_tainted_history_not_complete                                                      strategy/public-replies        (none)        OK
replies_sketch_prior                                                                      strategy/public-replies        (none)        OK
replies_sketch_four_observed                                                              strategy/public-replies        (none)        OK
replies_transformed_prior                                                                 strategy/public-replies        (none)        OK
replies_ditto_before_transform                                                            strategy/public-replies        (none)        OK
joint_fast_finish                                                                         strategy/joint-actions         SEISMIC_TOSS  OK
joint_broad_prior_mass                                                                    strategy/joint-actions         TACKLE        OK
joint_equal_slots                                                                         strategy/joint-actions         TACKLE        OK
joint_cache_reinitialize                                                                  strategy/joint-actions         TACKLE        OK
joint_open_prior                                                                          strategy/joint-actions         TACKLE        OK
joint_replacement_hazards                                                                 strategy/joint-actions         TACKLE        OK
joint_empty_replacement                                                                   strategy/joint-actions         TACKLE        OK
joint_recharge_wait                                                                       strategy/joint-actions         HYPER_BEAM    OK
joint_exhausted_struggle                                                                  strategy/joint-actions         TACKLE        OK
joint_encore_exhausted                                                                    strategy/joint-actions         SEISMIC_TOSS  OK
joint_encore_exhausted_confused                                                           strategy/joint-actions         SEISMIC_TOSS  OK
joint_encore_disabled                                                                     strategy/joint-actions         SEISMIC_TOSS  OK
joint_encore_disable_expires                                                              strategy/joint-actions         SEISMIC_TOSS  OK
joint_encore_zero_counter_disabled                                                        strategy/joint-actions         SEISMIC_TOSS  OK
joint_speed_tie_mixed                                                                     strategy/joint-actions         SEISMIC_TOSS  OK
joint_speed_tie_quick_claw                                                                strategy/joint-actions         SEISMIC_TOSS  OK
joint_speed_tie_transformed                                                               strategy/joint-actions         SEISMIC_TOSS  OK
joint_speed_tie_speed_high_byte                                                           strategy/joint-actions         SEISMIC_TOSS  OK
joint_speed_tie_round_once                                                                strategy/joint-actions         SEISMIC_TOSS  OK
joint_accuracy_mixed                                                                      strategy/joint-actions         FIRE_BLAST    OK
joint_accuracy_own_selfdestruct_miss                                                      strategy/joint-actions         SELFDESTRUCT  OK
joint_accuracy_reply_selfdestruct_miss                                                    strategy/joint-actions         RECOVER       OK
joint_accuracy_early_ko                                                                   strategy/joint-actions         SEISMIC_TOSS  OK
joint_accuracy_impossible_hits                                                            strategy/joint-actions         TACKLE        OK
joint_accuracy_focus_band                                                                 strategy/joint-actions         TACKLE        OK
joint_defense_transitions                                                                 strategy/joint-actions         BARRIER       OK

PASS: all 839 boss-AI decision-path fixtures hold
      paths covered: haki/after-player, haki/boss-first, haki/eligibility, haki/gates, normal/move-choice, scoring/destiny-bond, strategy/action-candidates, strategy/action-exchange, strategy/action-facts, strategy/action-self-effects, strategy/action-speeds, strategy/availability, strategy/available-ko, strategy/bond-retaliation, strategy/choice-memory, strategy/coach-context, strategy/damage-adapter, strategy/damage-kernel, strategy/defense-exchange, strategy/dominance, strategy/exhaustive-lookahead, strategy/fixed-damage, strategy/hard-block, strategy/joint-actions, strategy/party-damage, strategy/perish, strategy/public-ko, strategy/public-replies, strategy/public-speed, strategy/quarter-hp, strategy/revealed-mask, strategy/revealed-threat, strategy/scout, strategy/setup-window, strategy/switch-risk, strategy/switch-selection
